,section,lithology,formation,strat_m,composite_strat,d13C,d18O,d13Corg,Dd13C,TOC%,age
236,W1,dolostone,Bitter Springs,-1807.7,139.8,-3.5,-6.2,,,,796.1558616271602
237,W1,insoluble residue,Bitter Springs,-1807.6,139.9,,,-30.1,26.6,,796.1463164638034
238,W1,dolostone,Bitter Springs,-1805.7,141.8,-2.0,-6.1,,,,795.9649583600237
239,W1,dolostone,Bitter Springs,-1804.4,143.1,-2.5,-5.3,-30.4,27.9,0.016,795.840871236385
240,W1,dolostone,Bitter Springs,-1802.7,144.8,-2.3,-5.9,,,,795.6786034593191
241,W1,,Bitter Springs,-1801.7,145.9,,,,,,795.5831518257509
242,W1,dolostone,Bitter Springs,-1801.0,146.5,-2.0,-6.1,,,,795.516335682253
243,W1,,Bitter Springs,-1800.0,147.5,,,,,,795.4208840486848
244,W1,dolostone,Bitter Springs,-1799.2,148.3,-2.0,-5.5,,,,795.3445227418302
245,W1,dolostone,Bitter Springs,-1798.0,149.5,-2.1,-5.7,-29.8,27.8,0.03,795.2299807815484
246,W1,dolostone,Bitter Springs,-1796.7,150.8,-3.1,-7.5,,,,795.1058936579097
247,W1,,Bitter Springs,-1796.5,151.0,,,,,,795.086803331196
248,W1,dolostone,Bitter Springs,-1794.0,153.5,-1.8,-4.6,,,,794.8481742472754
249,W1,dolostone,Bitter Springs,-1793.0,154.5,-1.5,-4.3,-26.8,25.3,0.006999999999999999,794.7527226137072
250,W1,dolostone,Bitter Springs,-1791.4,156.1,-1.8,-4.5,,,,794.6
251,W1,insoluble residue,Bitter Springs,-1750.2,197.3,,,-26.7,32.4,,790.6393246187364
252,W1,dolostone,Bitter Springs,-1750.0,197.5,5.7,-2.5,,,,790.6200980392157
253,W1,dolostone,Bitter Springs,-1743.0,204.5,4.9,-2.5,,,,789.9471677559912
254,W1,insoluble residue,Bitter Springs,-1743.0,204.5,,,-27.2,32.1,,789.9471677559912
255,W1,dolostone,Bitter Springs,-1742.7,204.8,5.1,-2.6,,,,789.9183278867102
256,W1,insoluble residue,Bitter Springs,-1742.5,205.0,,,-26.3,31.8,,789.8991013071895
257,W1,dolostone,Bitter Springs,-1742.4,205.1,5.6,-3.4,,,,789.8894880174292
258,W1,limestone,Bitter Springs,-1741.3,206.2,5.0,-5.9,,,,789.7837418300654
259,W1,limestone,Bitter Springs,-1740.6,206.9,5.0,-6.0,,,,789.716448801743
260,W1,limestone,Bitter Springs,-1740.3,207.2,5.1,-6.1,,,,789.687608932462
261,W1,limestone,Bitter Springs,-1739.3,208.2,5.6,-5.5,,,,789.5914760348585
262,W1,limestone,Bitter Springs,-1738.5,209.0,5.1,-6.1,,,,789.5145697167757
263,W1,limestone,Bitter Springs,-1737.7,209.8,5.9,-5.7,,,,789.4376633986928
264,W1,insoluble residue,Bitter Springs,-1736.8,210.7,,,-25.9,31.3,,789.3511437908497
265,W1,limestone,Bitter Springs,-1735.7,211.8,5.5,-5.5,,,,789.2453976034859
266,W1,limestone,Bitter Springs,-1734.2,213.3,6.1,-4.9,,,,789.1011982570807
267,W1,limestone,Bitter Springs,-1733.6,213.9,5.9,-5.0,,,,789.0435185185186
268,W1,limestone,Bitter Springs,-1733.0,214.5,6.0,-5.1,,,,788.9858387799565
269,W1,insoluble residue,Bitter Springs,-1732.9,214.6,,,-26.3,32.3,,788.9762254901962
270,W1,limestone,Bitter Springs,-1732.0,215.5,5.8,-4.9,,,,788.889705882353
271,W1,limestone,Bitter Springs,-1730.9,216.6,5.4,-5.3,,,,788.7839596949892
272,W1,dolostone,Bitter Springs,-1729.6,217.9,5.3,-3.3,,,,788.6589869281047
273,W1,dolostone,Bitter Springs,-1728.8,218.7,5.0,-2.5,-27.9,32.9,,788.5820806100219
274,W1,insoluble residue,Bitter Springs,-1727.8,219.7,,,-26.7,31.6,,788.4859477124184
275,W1,dolostone,Bitter Springs,-1727.7,219.8,4.9,-2.7,,,,788.476334422658
276,W1,,Bitter Springs,-1727.1,220.4,,,,,,788.4186546840959
277,W1,limestone,Bitter Springs,-1726.4,221.1,4.8,-5.5,,,,788.3513616557735
278,W1,dolostone,Bitter Springs,-1723.3,224.2,3.8,-2.1,,,,788.0533496732027
279,W1,insoluble residue,Bitter Springs,-1723.3,224.2,,,-27.0,30.8,,788.0533496732027
280,W1,dolostone,Bitter Springs,-1721.2,226.3,4.1,-3.7,,,,787.8514705882353
281,W1,insoluble residue,Bitter Springs,-1721.2,226.3,,,-26.6,30.8,,787.8514705882353
282,W1,dolostone,Bitter Springs,-1720.3,227.2,3.9,-5.2,,,,787.7649509803922
283,W1,,Bitter Springs,-1719.2,228.3,,,,,,787.6592047930284
284,W1,dolostone,Bitter Springs,-1719.1,228.4,4.1,-2.6,,,,787.649591503268
285,W1,limestone,Bitter Springs,-1718.0,229.5,1.1,-11.7,,,,787.5438453159042
286,W1,dolostone,Bitter Springs,-1709.7,237.8,5.6,-1.8,,,,786.7459422657952
287,W1,insoluble residue,Bitter Springs,-1709.7,237.8,,,-27.4,33.0,,786.7459422657952
288,W1,dolostone,Bitter Springs,-1707.5,240.0,5.5,-2.1,,,,786.5344498910675
289,W1,limestone,Bitter Springs,-1704.7,242.8,4.9,-8.7,,,,786.2652777777778
290,W1,insoluble residue,Bitter Springs,-1703.8,243.7,,,-26.6,31.4,,786.1787581699347
291,W1,limestone,Bitter Springs,-1703.7,243.8,4.8,-6.6,,,,786.1691448801744
292,W1,limestone,Bitter Springs,-1703.3,244.2,4.7,-6.7,,,,786.130691721133
293,W1,dolostone,Bitter Springs,-1702.3,245.2,5.8,-3.3,,,,786.0345588235294
294,W1,dolostone,Bitter Springs,-1701.9,245.6,5.9,-1.5,,,,785.996105664488
295,W1,insoluble residue,Bitter Springs,-1701.9,245.6,,,-24.4,30.2,,785.996105664488
296,W1,dolostone,Bitter Springs,-1700.7,246.8,5.1,-3.8,,,,785.8807461873638
297,W1,dolostone,Bitter Springs,-1695.6,251.9,5.3,-2.8,,,,785.390468409586
298,W1,dolostone,Bitter Springs,-1695.4,252.1,5.1,-2.4,,,,785.3712418300653
299,W1,insoluble residue,Bitter Springs,-1695.3,252.2,,,-21.5,26.9,,785.3616285403049
300,W1,limestone,Bitter Springs,-1673.9,273.6,3.8,-6.6,,,,783.3043845315902
301,W1,limestone,Bitter Springs,-1673.6,273.9,4.1,-6.4,,,,783.2755446623091
302,W1,limestone,Bitter Springs,-1673.2,274.3,4.3,-6.8,,,,783.2370915032677
303,W1,,Bitter Springs,-1673.1,274.4,,,,,,783.2274782135073
304,W1,limestone,Bitter Springs,-1671.9,275.6,3.9,-9.5,,,,783.1121187363832
305,W1,limestone,Bitter Springs,-1671.3,276.2,3.6,-9.2,,,,783.0544389978211
306,W1,limestone,Bitter Springs,-1671.1,276.4,3.7,-7.7,-25.3,29.0,0.006,783.0352124183004
307,W1,dolostone,Bitter Springs,-1671.0,276.5,4.3,-3.7,,,,783.0255991285401
308,W1,dolostone,Bitter Springs,-1670.9,276.6,3.6,-3.0,,,,783.0159858387798
309,W1,limestone,Bitter Springs,-1665.2,282.3,4.3,-8.2,-25.8,30.1,0.006,782.4680283224399
310,W1,limestone,Bitter Springs,-1664.8,282.7,4.7,-7.5,,,,782.4295751633985
311,W1,limestone,Bitter Springs,-1664.0,283.5,4.9,-10.4,,,,782.3526688453156
312,W1,limestone,Bitter Springs,-1662.9,284.6,4.8,-11.4,,,,782.2469226579518
313,W1,insoluble residue,Bitter Springs,-1659.8,287.7,,,-25.8,31.9,,781.948910675381
314,W1,limestone,Bitter Springs,-1659.3,288.2,6.1,-10.1,,,,781.9008442265792
315,W1,limestone,Bitter Springs,-1658.6,288.9,6.0,-10.5,,,,781.8335511982568
316,W1,dolostone,Bitter Springs,-1658.3,289.2,7.1,-5.6,,,,781.8047113289758
317,W1,limestone,Bitter Springs,-1657.8,289.7,6.2,-12.7,,,,781.7566448801741
318,W1,dolostone,Bitter Springs,-1654.4,293.1,4.4,-3.5,,,,781.4297930283223
319,W1,dolostone,Bitter Springs,-1652.5,295.0,4.6,-5.1,,,,781.2471405228756
320,W1,dolostone,Bitter Springs,-1648.4,299.1,5.8,-4.8,-25.1,30.9,0.021,780.8529956427013
321,W1,dolostone,Bitter Springs,-1645.6,301.9,5.6,-4.0,,,,780.5838235294116
322,W1,dolostone,Bitter Springs,-1644.2,303.3,4.8,-6.7,,,,780.4492374727668
323,W1,dolostone,Bitter Springs,-1643.8,303.7,5.7,-4.9,,,,780.4107843137253
324,W1,dolostone,Bitter Springs,-1642.3,305.2,6.7,-2.9,-25.5,32.2,0.013999999999999999,780.2665849673201
325,W1,dolostone,Bitter Springs,-1641.8,305.7,7.3,-8.3,,,,780.2185185185184
326,W1,limestone,Bitter Springs,-1640.5,307.0,6.8,-6.9,,,,780.0935457516339
327,W1,insoluble residue,Bitter Springs,-1639.5,308.0,,,-26.1,32.8,,779.9974128540304
328,W1,limestone,Bitter Springs,-1639.4,308.1,6.7,-7.2,,,,779.9877995642701
329,W1,dolostone,Bitter Springs,-1638.7,308.8,7.3,-5.9,,,,779.9205065359477
330,W1,dolostone,Bitter Springs,-1637.5,310.0,6.7,-5.5,,,,779.8051470588234
331,W1,dolostone,Bitter Springs,-1637.1,310.4,6.7,-3.2,,,,779.766693899782
332,W1,dolostone,Bitter Springs,-1635.8,311.7,7.2,-7.0,,,,779.6417211328975
333,W1,insoluble residue,Bitter Springs,-1634.9,312.6,,,-24.6,31.3,,779.5552015250544
334,W1,limestone,Bitter Springs,-1634.8,312.7,6.7,-6.8,,,,779.545588235294
335,W1,limestone,Bitter Springs,-1633.4,314.1,6.1,-8.4,,,,779.4110021786491
336,W1,dolostone,Bitter Springs,-1632.6,314.9,4.7,-6.4,,,,779.3340958605663
337,W1,dolostone,Bitter Springs,-1632.1,315.4,7.0,-4.0,,,,779.2860294117646
338,W1,insoluble residue,Bitter Springs,-1632.0,315.5,,,-22.2,29.2,,779.2764161220043
339,W1,dolostone,Bitter Springs,-1631.3,316.2,6.8,-3.4,,,,779.2091230936819
340,W1,limestone,Bitter Springs,-1630.1,317.4,7.6,-6.6,,,,779.0937636165577
341,W1,dolostone,Bitter Springs,-1629.2,318.3,5.4,-2.5,,,,779.0072440087146
342,W1,dolostone,Bitter Springs,-1628.3,319.2,5.8,-2.2,-25.5,31.4,0.048,778.9207244008714
343,W1,limestone,Bitter Springs,-1626.2,321.3,7.0,-7.9,,,,778.7188453159041
344,W1,limestone,Bitter Springs,-1625.1,322.4,7.1,-8.3,,,,778.6130991285403
345,W1,limestone,Bitter Springs,-1624.0,323.5,6.9,-6.9,,,,778.5073529411765
346,W1,limestone,Bitter Springs,-1623.0,324.5,6.5,-7.1,,,,778.4112200435729
347,W1,limestone,Bitter Springs,-1622.0,325.5,6.9,-7.1,,,,778.3150871459694
348,W1,dolostone,Bitter Springs,-1621.0,326.5,6.9,-5.8,,,,778.2189542483659
349,W1,insoluble residue,Bitter Springs,-1620.5,327.0,,,-24.1,30.8,,778.1708877995642
350,W1,limestone,Bitter Springs,-1620.4,327.1,6.7,-4.8,,,,778.1612745098039
351,W1,dolostone,Bitter Springs,-1619.3,328.2,6.4,-2.8,,,,778.0555283224401
352,W1,dolostone,Bitter Springs,-1618.8,328.7,6.8,-3.2,,,,778.0074618736384
353,W1,limestone,Bitter Springs,-1617.4,330.1,5.5,-3.8,,,,777.8728758169935
354,W1,limestone,Bitter Springs,-1617.0,330.5,7.3,-7.6,,,,777.8344226579521
355,W1,limestone,Bitter Springs,-1615.9,331.6,5.5,-7.9,-27.2,32.7,0.040999999999999995,777.7286764705883
356,W1,dolostone,Bitter Springs,-1614.7,332.8,4.1,-1.8,,,,777.6133169934641
357,W1,dolostone,Bitter Springs,-1613.1,334.4,5.1,-2.9,,,,777.4595043572984
358,W1,limestone,Bitter Springs,-1611.7,335.8,6.2,-7.0,,,,777.3249183006536
359,W1,dolostone,Bitter Springs,-1610.7,336.8,4.1,-2.5,,,,777.2287854030501
360,W1,dolostone,Bitter Springs,-1609.8,337.7,5.8,-4.1,-26.8,32.6,0.055,777.142265795207
361,W1,limestone,Bitter Springs,-1608.8,338.7,6.9,-8.6,,,,777.0461328976035
362,W1,limestone,Bitter Springs,-1608.0,339.5,7.2,-7.1,,,,776.9692265795206
363,W1,limestone,Bitter Springs,-1607.0,340.5,6.8,-7.9,,,,776.8730936819171
364,W1,limestone,Bitter Springs,-1605.9,341.6,6.5,-8.1,,,,776.7673474945533
365,W1,limestone,Bitter Springs,-1604.9,342.6,6.0,-7.9,,,,776.6712145969498
366,W1,limestone,Bitter Springs,-1604.0,343.5,6.1,-8.0,,,,776.5846949891067
367,W1,limestone,Bitter Springs,-1603.0,344.5,6.1,-8.1,,,,776.4885620915031
368,W1,limestone,Bitter Springs,-1602.1,345.4,6.3,-7.0,,,,776.40204248366
369,W1,dolostone,Bitter Springs,-1601.5,346.0,6.3,-6.7,,,,776.3443627450979
370,W1,limestone,Bitter Springs,-1600.9,346.6,4.9,-10.4,,,,776.2866830065358
371,W1,dolostone,Bitter Springs,-1594.8,352.7,4.2,-3.5,,,,775.7002723311545
372,W1,dolostone,Bitter Springs,-1591.0,356.5,4.4,-4.1,,,,775.3349673202612
373,W1,insoluble residue,Bitter Springs,-1590.9,356.6,,,-27.1,31.5,,775.3253540305009
374,W1,dolostone,Bitter Springs,-1590.3,357.2,5.2,-4.0,,,,775.2676742919388
375,W1,,Bitter Springs,-1589.8,357.7,,,,,,775.219607843137
376,W1,dolostone,Bitter Springs,-1589.4,358.1,4.6,-5.5,,,,775.1811546840956
377,W1,dolostone,Bitter Springs,-1587.6,359.9,4.1,-4.8,-25.8,29.8,0.038,775.0081154684093
378,W1,dolostone,Bitter Springs,-1586.6,360.9,4.2,-5.4,,,,774.9119825708058
379,W1,insoluble residue,Bitter Springs,-1581.1,366.4,,,-27.8,33.3,,774.3832516339866
380,W1,dolostone,Bitter Springs,-1581.0,366.5,5.6,-3.8,,,,774.3736383442263
381,W1,dolostone,Bitter Springs,-1580.0,367.5,6.2,-4.0,,,,774.2775054466227
382,W1,dolostone,Bitter Springs,-1579.8,367.7,6.1,-5.0,,,,774.258278867102
383,W1,dolostone,Bitter Springs,-1578.2,369.3,5.5,-4.9,,,,774.1044662309365
384,W1,dolostone,Bitter Springs,-1577.9,369.6,4.9,-5.3,,,,774.0756263616555
385,W1,dolostone,Bitter Springs,-1577.4,370.1,5.1,-5.5,,,,774.0275599128538
386,W1,dolostone,Bitter Springs,-1576.5,371.0,4.5,-5.0,,,,773.9410403050107
387,W1,,Bitter Springs,-1574.4,373.1,,,,,,773.7391612200433
388,W1,dolostone,Bitter Springs,-1570.0,377.5,4.5,-4.0,-26.2,30.7,0.013000000000000001,773.316176470588
389,W1,dolostone,Bitter Springs,-1569.0,378.5,4.7,-4.6,,,,773.2200435729844
390,W1,dolostone,Bitter Springs,-1567.9,379.6,4.7,-4.0,,,,773.1142973856206
391,W1,dolostone,Bitter Springs,-1567.5,380.0,4.3,-5.5,,,,773.0758442265792
392,W1,dolostone,Bitter Springs,-1567.1,380.4,4.0,-5.6,,,,773.0373910675378
393,W1,dolostone,Bitter Springs,-1566.6,380.9,3.3,-3.3,,,,772.9893246187361
394,W1,dolostone,Bitter Springs,-1562.8,384.7,4.8,-4.8,,,,772.6240196078428
395,W1,dolostone,Bitter Springs,-1561.6,385.9,4.3,-5.4,,,,772.5086601307186
396,W1,dolostone,Bitter Springs,-1560.2,387.3,3.4,-7.7,,,,772.3740740740737
397,W1,dolostone,Bitter Springs,-1559.2,388.3,4.6,-5.0,-26.9,31.5,0.057999999999999996,772.2779411764702
398,W1,dolostone,Bitter Springs,-1558.3,389.2,4.6,-5.5,,,,772.1914215686271
399,W1,dolostone,Bitter Springs,-1557.6,389.9,4.0,-5.2,,,,772.1241285403047
400,W1,,Bitter Springs,-1548.6,398.9,,,,,,771.2589324618733
401,W1,insoluble residue,Bitter Springs,-1548.3,399.2,,,-27.2,31.8,,771.2300925925923
402,W1,dolostone,Bitter Springs,-1548.0,399.5,4.6,-5.1,,,,771.2012527233113
403,W1,dolostone,Bitter Springs,-1543.0,404.5,4.8,-5.6,,,,770.7205882352939
404,W1,insoluble residue,Bitter Springs,-1542.8,404.7,,,-27.2,32.0,,770.7013616557732
405,W1,dolostone,Bitter Springs,-1542.1,405.4,4.6,-5.9,,,,770.6340686274508
406,W1,dolostone,Bitter Springs,-1541.3,406.2,4.4,-5.8,,,,770.557162309368
407,W1,dolostone,Bitter Springs,-1540.5,407.0,4.3,-6.1,,,,770.4802559912852
408,W1,insoluble residue,Bitter Springs,-1540.4,407.1,,,-26.8,31.1,,770.4706427015249
409,W1,dolostone,Bitter Springs,-1539.1,408.4,3.3,-5.2,,,,770.3456699346403
410,W1,dolostone,Bitter Springs,-1538.5,409.0,4.3,-4.9,,,,770.2879901960782
411,W1,,Bitter Springs,-1538.3,409.2,,,,,,770.2687636165575
412,W1,dolostone,Bitter Springs,-1537.0,410.5,3.9,-4.5,-25.9,29.8,0.054000000000000006,770.143790849673
413,W1,dolostone,Bitter Springs,-1536.5,411.0,3.8,-5.6,,,,770.0957244008713
414,W1,dolostone,Bitter Springs,-1535.0,412.5,2.0,-4.8,,,,769.9515250544661
415,W1,dolostone,Bitter Springs,-1498.7,448.8,3.8,-4.0,,,,766.4619008714595
416,W1,dolostone,Bitter Springs,-1498.0,449.5,3.6,-4.2,,,,766.3946078431371
417,W1,dolostone,Bitter Springs,-1497.1,450.4,3.6,-4.3,-28.1,31.8,0.022000000000000002,766.308088235294
418,W1,dolostone,Bitter Springs,-1495.0,452.5,3.6,-6.3,,,,766.1062091503267
419,W1,insoluble residue,Bitter Springs,-1494.1,453.4,,,-28.5,32.3,,766.0196895424835
420,W1,dolostone,Bitter Springs,-1494.0,453.5,3.8,-4.1,,,,766.0100762527233
421,W1,dolostone,Bitter Springs,-1493.6,453.9,3.6,-3.9,,,,765.9716230936818
422,W1,dolostone,Bitter Springs,-1492.4,455.1,3.4,-5.2,-28.3,31.7,0.021,765.8562636165577
423,W1,dolostone,Bitter Springs,-1491.6,455.9,3.3,-4.4,,,,765.7793572984749
424,W1,,Bitter Springs,-1491.1,456.4,,,,,,765.7312908496732
425,W1,dolostone,Bitter Springs,-1490.7,456.8,3.1,-4.8,,,,765.6928376906318
426,W1,dolostone,Bitter Springs,-1489.7,457.8,2.7,-8.8,,,,765.5967047930283
427,W1,,Bitter Springs,-1487.2,460.3,,,,,,765.3563725490195
428,W1,dolostone,Bitter Springs,-1486.1,461.4,2.5,-4.4,-26.6,29.1,0.013000000000000001,765.2506263616557
429,W1,,Bitter Springs,-1461.5,486.0,,,,,,762.8857570806099
430,W1,,Bitter Springs,-1461.1,486.4,,,,,,762.8473039215685
431,W1,dolostone,Bitter Springs,-1459.0,488.5,4.8,-5.0,,,,762.6454248366011
432,W1,dolostone,Bitter Springs,-1455.6,491.9,4.9,-4.5,,,,762.3185729847493
433,W1,dolostone,Bitter Springs,-1455.5,492.0,5.0,-1.2,,,,762.308959694989
434,W1,dolostone,Bitter Springs,-1453.3,494.2,4.7,-4.7,,,,762.0974673202613
435,W1,,Bitter Springs,-1451.2,496.3,,,,,,761.895588235294
436,W1,dolostone,Bitter Springs,-1451.1,496.4,5.0,-4.1,,,,761.8859749455336
437,W1,dolostone,Bitter Springs,-1450.3,497.2,4.1,-3.1,,,,761.8090686274508
438,W1,dolostone,Bitter Springs,-1449.6,497.9,3.5,-2.2,,,,761.7417755991283
439,W1,dolostone,Bitter Springs,-1446.5,501.0,2.6,-3.3,,,,761.4437636165576
440,W1,dolostone,Bitter Springs,-1445.4,502.1,2.8,-3.9,,,,761.3380174291938
441,W1,,Bitter Springs,-1445.2,502.3,,,,,,761.3187908496731
442,W1,,Bitter Springs,-1443.4,504.1,,,,,,761.1457516339868
443,W1,,Bitter Springs,-1442.4,505.1,,,,,,761.0496187363833
444,W1,,Bitter Springs,-1441.0,506.5,,,,,,760.9150326797384
445,W1,,Bitter Springs,-1440.8,506.7,,,,,,760.8958061002177
446,W1,dolostone,Bitter Springs,-1440.7,506.8,2.7,-0.9,,,,760.8861928104574
447,W1,,Bitter Springs,-1439.0,508.5,,,,,,760.7227668845314
448,W1,dolostone,Bitter Springs,-1438.2,509.3,3.8,-3.2,,,,760.6458605664486
449,W1,dolostone,Bitter Springs,-1435.2,512.3,3.8,-4.2,,,,760.3574618736382
450,W1,,Bitter Springs,-1434.7,512.8,,,,,,760.3093954248365
451,W1,dolostone,Bitter Springs,-1434.4,513.1,4.2,-2.6,,,,760.2805555555555
452,W1,insoluble residue,Bitter Springs,-1434.1,513.4,,,-26.4,30.6,,760.2517156862743
453,W1,dolostone,Bitter Springs,-1433.1,514.4,4.3,-1.9,,,,760.1555827886708
454,W1,,Bitter Springs,-1432.0,515.5,,,,,,760.049836601307
455,W1,,Bitter Springs,-1431.6,516.0,,,,,,760.0113834422656
456,W1,dolostone,Bitter Springs,-1430.1,517.4,4.8,-3.3,,,,759.8671840958604
457,W1,insoluble residue,Bitter Springs,-1430.1,517.4,,,-28.2,33.0,,759.8671840958604
458,W1,dolostone,Bitter Springs,-1430.0,517.5,4.7,-3.9,,,,759.8575708061001
459,W1,dolostone,Bitter Springs,-1428.7,518.8,4.5,-3.7,,,,759.7325980392155
460,W1,,Bitter Springs,-1428.6,518.9,,,,,,759.7229847494551
461,W1,dolostone,Bitter Springs,-1428.4,519.1,4.3,-4.2,,,,759.7037581699344
462,W1,insoluble residue,Bitter Springs,-1428.4,519.1,,,-27.5,31.8,,759.7037581699344
463,W1,dolostone,Bitter Springs,-1427.5,520.0,3.6,-2.8,,,,759.6172385620913
464,W1,insoluble residue,Bitter Springs,-1427.2,520.3,,,-28.2,31.8,,759.5883986928103
465,W1,,Bitter Springs,-1427.1,520.4,,,,,,759.5787854030499
466,W1,insoluble residue,Bitter Springs,-1426.4,521.1,,,-27.6,31.5,,759.5114923747275
467,W1,dolostone,Bitter Springs,-1426.3,521.2,3.9,-3.7,,,,759.5018790849671
468,W1,,Bitter Springs,-1426.1,521.4,,,,,,759.4826525054464
469,W1,dolostone,Bitter Springs,-1425.5,522.0,3.3,-3.6,,,,759.4249727668843
470,W1,dolostone,Bitter Springs,-1425.4,522.1,3.2,-4.5,,,,759.415359477124
471,W1,dolostone,Bitter Springs,-1424.3,523.2,4.3,0.5,,,,759.3096132897601
472,W1,,Bitter Springs,-1424.2,523.3,,,,,,759.3
